Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desciption,Description,Manufacturer,Part Number
1,25,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35",100nF,operacake-rescue:C,gsg-modules:0402,,,CAP CER 0.1UF 10V 10% X5R 0402,Murata,GRM155R61A104KA01D
2,10,"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22",33pF,operacake-rescue:C,gsg-modules:0402,,,CAP CER 33PF 50V 5% NP0 0402,Murata,GRM1555C1H330JA01D
3,10,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",GSG-DIODE-TVS-BI,hackrf:GSG-DIODE-TVS-BI,gsg-modules:0402,,,TVS DIODE 4VWM 0402,Murata,LXES15AAA1-153
4,9,"DA0, DAG1, DAG2, DAG3, DAG4, DBG1, DBG2, DBG3, DBG4",LED,operacake-rescue:LED,gsg-modules:0603D,,,LED GREEN DIFFUSED 0603 SMD,Lumex,SML-LX0603GW-TR
5,9,"DAY1, DAY2, DAY3, DAY4, DB0, DBY1, DBY2, DBY3, DBY4",LED,operacake-rescue:LED,gsg-modules:0603D,,,LED YELLOW DIFFUSED 0603 SMD,Lumex,SML-LX0603YW-TR
6,1,P1,ADDRESS,operacake-rescue:CONN_02X03,gsg-modules:HEADER-2x3,,,JUMPER PLUG 6POS DOUBLE ROW,Omron,XG8T-0631
7,2,"P20, P28",SD,operacake-rescue:CONN_02X11,gsg-modules:HEADER-2x11,,"CONN RCPT .100"" 22POS DUAL GOLD","CONN RCPT .100"" 22POS DUAL GOLD",Samtec,SSQ-111-03-G-D
8,1,P22,I2S,operacake-rescue:CONN_02X13,gsg-modules:HEADER-2x13,,,"CONN RCPT .100"" 26POS DUAL GOLD",Samtec,SSQ-113-03-G-D
9,10,"PA0, PA1, PA2, PA3, PA4, PB0, PB1, PB2, PB3, PB4",GSG-RF-CONN,hackrf:GSG-RF-CONN,hackrf:GSG-SMA-73251-2120,,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex,73251-2121
10,6,"R1, R2, R3, R4, R5, R6",330,operacake-rescue:R,gsg-modules:0603,,,RES 330 OHM 1/10W 5% 0603 SMD,Stackpole,RMCF0603JT330R
11,12,"R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20",10k,operacake-rescue:R,gsg-modules:0603,,,RES 10K OHM 1/10W 5% 0603 SMD,Panasonic,ERJ-3GEYJ103V
12,1,U1,MASWSS0129,gsg-symbols:MASWSS0129,gsg-modules:QFN12-3,,,DPDT LEAD FREE SWITCH DC - 6GHZ,M/A-Com,MASWSS0129TR-3000
13,6,"U6, U7, U10, U11, U12, U13",74LVC1G58,gsg-symbols:74LVC1G58,gsg-modules:SOT363,,,IC CONFIG MULT-FUNC GATE SOT363,Diodes Inc.,74LVC1G58DW-7
14,2,"U14, U15",74AHC1G02,gsg-symbols:74AHC1G08,gsg-modules:SOT353-1,,,NOR Gate IC 1 Channel SOT-353,Diodes Inc.,74AHC1G02SE-7
15,1,U16,74LVC1G19,gsg-symbols:74LVC1G19,gsg-modules:SOT363,,,Decoder/Demultiplexer 1 x 1:2 6-TSSOP,NXP,"74LVC1G19GW,125"
16,2,"U2, U3",SKY13322,gsg-symbols:SKY13322,gsg-modules:SKY13322-375LF,,,IC SWITCH SP4T 0.1-6GHZ 10MLPD,Skyworks,SKY13322-375LF
17,1,U4,PCA9557,gsg-symbols:PCA9557,gsg-modules:TSSOP16,,,"I/O Expander 8 I²C, SMBus 400kHz 16-TSSOP",NXP,"PCA9557PW,118"
18,1,U5,TC7MBL3245CFT,gsg-symbols:TC7MBL3245CFT,gsg-modules:TSSOP20,,,Bus Switch 8 x 1:1 20-TSSOP,Toshiba,TC7MBL3245CFT(EL)
19,2,"U8, U9",74AHC1G08,gsg-symbols:74AHC1G08,gsg-modules:SOT353-1,,,AND Gate IC 1 Channel SOT-353,Diodes Inc.,74AHC1G08SE-7
